session,scan_idx,readout_id,brain_area,layer,unit_id
9,6,3935,RL,L23,4240
9,3,6807,RL,L4,7401
6,4,6141,RL,L5,6648
6,7,3451,V1,L23,3797
7,3,4615,V1,L4,5011
7,3,6664,V1,L5,7209
7,5,1965,AL,L23,2170
7,5,6662,AL,L4,7377
6,4,8024,AL,L5,8623
9,6,1382,LM,L23,1498
6,4,3645,LM,L4,3970
7,5,1475,RL,L23,1628
5,7,3908,RL,L4,4283
8,5,9220,RL,L5,9811
7,5,1729,V1,L23,1901
9,3,4641,V1,L4,5011
4,7,6968,V1,L5,7815
9,4,6582,AL,L23,7057
5,7,4665,AL,L4,5134
7,3,8543,AL,L5,9210
9,4,7306,LM,L23,7826
5,6,3900,LM,L4,4251
8,5,4296,RL,L23,4522
5,7,4829,RL,L4,5307
5,7,6814,RL,L5,7512
5,7,1524,V1,L23,1653
6,7,6212,V1,L4,6854
6,4,6954,V1,L5,7518
6,4,4760,AL,L23,5162
4,7,4815,AL,L4,5410
5,7,5991,AL,L5,6600
9,4,2391,LM,L23,2573
6,6,5845,LM,L4,6302
7,5,2140,RL,L23,2353
7,5,6204,RL,L4,6869
6,6,5834,RL,L5,6290
7,5,1755,V1,L23,1930
6,2,4131,V1,L4,4479
6,2,6929,V1,L5,7504
5,6,2389,AL,L23,2603
6,7,5422,AL,L4,5969
6,4,7690,AL,L5,8282
7,5,1896,LM,L23,2089
8,5,7135,LM,L4,7553
9,6,4963,RL,L23,5317
9,3,2211,RL,L4,2375
6,4,6897,RL,L5,7448
6,4,1322,V1,L23,1437
7,3,4166,V1,L4,4516
6,4,6457,V1,L5,6978
6,4,4540,AL,L23,4922
7,3,3923,AL,L4,4260
6,4,5998,AL,L5,6495
6,7,3002,LM,L23,3315
8,5,7078,LM,L4,7493
6,6,4367,RL,L23,4707
6,2,3790,RL,L4,4120
4,7,6889,RL,L5,7734
9,4,4245,V1,L23,4554
7,5,6715,V1,L4,7433
7,3,8323,V1,L5,8980
7,5,1294,AL,L23,1414
6,2,3745,AL,L4,4071
6,2,6681,AL,L5,7234
6,4,3593,LM,L23,3914
7,3,4038,LM,L4,4383
7,3,2038,RL,L23,2196
5,7,3810,RL,L4,4183
5,7,6101,RL,L5,6716
9,6,2308,V1,L23,2472
6,6,3622,V1,L4,3913
6,7,7644,V1,L5,8353
4,7,2944,AL,L23,3374
5,6,5059,AL,L4,5513
6,4,6623,AL,L5,7158
8,5,5444,LM,L23,5739
9,3,6747,LM,L4,7340
5,7,1400,RL,L23,1525
6,7,5491,RL,L4,6048
5,6,6198,RL,L5,6765
9,6,4185,V1,L23,4499
6,2,4029,V1,L4,4371
4,7,7492,V1,L5,8395
9,6,4804,AL,L23,5154
9,3,6681,AL,L4,7267
6,7,5471,AL,L5,6023
6,6,3401,LM,L23,3674
6,4,6087,LM,L4,6591
8,5,5371,RL,L23,5658
9,3,7934,RL,L4,8610
6,2,6139,RL,L5,6647
7,5,1820,V1,L23,2010
9,3,4755,V1,L4,5141
6,6,7705,V1,L5,8277
6,4,3499,AL,L23,3805
5,6,4944,AL,L4,5377
6,4,7700,AL,L5,8292
5,7,2167,LM,L23,2376
5,6,4950,LM,L4,5384
5,6,1387,RL,L23,1491
9,3,4236,RL,L4,4573
5,6,6609,RL,L5,7210
8,5,4508,V1,L23,4743
9,3,7543,V1,L4,8196
6,6,6417,V1,L5,6933
6,6,4053,AL,L23,4367
8,5,7937,AL,L4,8432
4,7,6824,AL,L5,7669
9,4,5185,LM,L23,5562
9,3,1460,LM,L4,1582
7,3,2388,RL,L23,2566
6,4,3749,RL,L4,4080
6,6,6330,RL,L5,6831
5,6,2321,V1,L23,2522
5,6,4430,V1,L4,4819
5,7,6624,V1,L5,7294
7,3,2312,AL,L23,2490
4,7,4878,AL,L4,5490
5,6,7901,AL,L5,8556
4,7,2348,LM,L23,2711
6,7,6513,LM,L4,7181
9,6,1469,RL,L23,1592
6,4,4660,RL,L4,5051
4,7,7378,RL,L5,8269
6,6,1833,V1,L23,1995
8,5,7563,V1,L4,8018
7,3,6449,V1,L5,6987
6,4,2004,AL,L23,2196
5,6,3857,AL,L4,4205
7,3,8520,AL,L5,9186
8,5,2685,LM,L23,2821
4,7,4923,LM,L4,5544
6,6,4002,RL,L23,4314
6,2,3848,RL,L4,4181
8,5,9566,RL,L5,10171
6,2,1800,V1,L23,1964
6,6,3954,V1,L4,4265
7,3,8552,V1,L5,9219
8,5,4197,AL,L23,4416
9,3,5242,AL,L4,5666
7,3,8522,AL,L5,9188
9,6,4918,LM,L23,5272
6,2,4922,LM,L4,5327
9,6,2267,RL,L23,2429
9,3,2321,RL,L4,2491
6,2,6576,RL,L5,7110
6,4,1401,V1,L23,1520
6,6,6446,V1,L4,6963
8,5,9469,V1,L5,10067
7,3,1335,AL,L23,1452
9,3,4104,AL,L4,4436
5,7,6640,AL,L5,7313
7,5,1420,LM,L23,1568
5,7,2002,RL,L23,2196
8,5,7681,RL,L4,8150
4,7,6932,RL,L5,7777
6,6,4237,V1,L23,4566
9,3,4417,V1,L4,4769
6,4,8019,V1,L5,8618
6,6,3959,AL,L23,4271
6,7,5415,AL,L4,5960
5,7,8025,AL,L5,8748
9,4,4908,LM,L23,5265
8,5,2547,RL,L23,2678
6,4,3652,RL,L4,3977
6,7,5476,RL,L5,6031
7,3,2368,V1,L23,2546
8,5,8050,V1,L4,8556
7,3,8213,V1,L5,8864
5,7,2366,AL,L23,2609
6,7,5416,AL,L4,5961
6,7,7353,AL,L5,8052
9,4,6653,LM,L23,7137
9,4,4043,RL,L23,4343
7,3,4037,RL,L4,4382
6,4,6782,RL,L5,7324
6,6,1418,V1,L23,1545
7,5,6901,V1,L4,7645
7,3,8352,V1,L5,9014
6,2,1810,AL,L23,1975
9,3,4085,AL,L4,4417
5,6,6992,AL,L5,7629
6,2,1237,LM,L23,1355
7,5,1971,RL,L23,2176
9,3,7555,RL,L4,8208
5,6,6945,RL,L5,7575
9,4,4780,V1,L23,5131
6,4,4089,V1,L4,4434
5,6,6717,V1,L5,7334
9,6,1289,AL,L23,1401
7,5,5969,AL,L4,6610
6,4,6921,AL,L5,7479
9,6,2359,LM,L23,2523
7,3,2371,RL,L23,2549
5,6,4483,RL,L4,4880
6,7,7355,RL,L5,8054
5,7,2183,V1,L23,2395
9,3,7225,V1,L4,7851
6,4,6526,V1,L5,7053
7,5,1311,AL,L23,1442
7,3,3942,AL,L4,4281
5,6,6115,AL,L5,6681
4,7,842,LM,L23,1029
9,4,1465,RL,L23,1577
9,3,1499,RL,L4,1622
7,5,7846,RL,L5,8647
6,4,1717,V1,L23,1881
6,7,5915,V1,L4,6504
7,3,8380,V1,L5,9042
7,3,2010,AL,L23,2168
6,4,6911,AL,L4,7466
5,6,8579,AL,L5,9242
5,6,1381,LM,L23,1485
7,5,4150,RL,L23,4580
5,7,3807,RL,L4,4180
5,6,6652,RL,L5,7262
6,7,3788,V1,L23,4173
4,7,5871,V1,L4,6621
7,3,6351,V1,L5,6886
6,7,2929,AL,L23,3236
7,5,6923,AL,L4,7673
6,4,6937,AL,L5,7496
9,6,3925,LM,L23,4230
5,7,1318,RL,L23,1432
4,7,5599,RL,L4,6319
5,7,6070,RL,L5,6684
9,6,4269,V1,L23,4587
5,7,4576,V1,L4,5042
6,7,7693,V1,L5,8404
7,3,1337,AL,L23,1454
9,3,4055,AL,L4,4381
6,4,6021,AL,L5,6521
9,6,2447,LM,L23,2615
6,2,1295,RL,L23,1416
9,3,2687,RL,L4,2876
7,5,7819,RL,L5,8618
6,7,3784,V1,L23,4169
8,5,7694,V1,L4,8163
7,3,8589,V1,L5,9264
9,4,6573,AL,L23,7046
7,3,3902,AL,L4,4237
5,6,6101,AL,L5,6663
6,6,1901,LM,L23,2073
5,6,2103,RL,L23,2292
6,2,4460,RL,L4,4826
5,6,8513,RL,L5,9176
9,4,7206,V1,L23,7720
6,7,6125,V1,L4,6758
6,6,6745,V1,L5,7293
8,5,4212,AL,L23,4433
7,3,4856,AL,L4,5272
5,6,6120,AL,L5,6686
9,6,1414,LM,L23,1534
9,6,4688,RL,L23,5030
5,6,4782,RL,L4,5201
5,6,6916,RL,L5,7545
6,2,2292,V1,L23,2493
9,3,1861,V1,L4,1999
5,6,6280,V1,L5,6850
6,2,1169,AL,L23,1276
5,6,3837,AL,L4,4182
6,7,7759,AL,L5,8470
6,4,4791,LM,L23,5195
8,5,2728,RL,L23,2869
6,7,5586,RL,L4,6147
8,5,7758,RL,L5,8237
8,5,2270,V1,L23,2392
5,6,4454,V1,L4,4845
5,7,8000,V1,L5,8723
9,4,3963,AL,L23,4261
7,5,5951,AL,L4,6590
5,6,6948,AL,L5,7578
4,7,2349,LM,L23,2712
6,7,3662,RL,L23,4022
9,3,6858,RL,L4,7457
5,6,6228,RL,L5,6795
7,5,2000,V1,L23,2206
8,5,7969,V1,L4,8467
6,7,6028,V1,L5,6641
7,5,1323,AL,L23,1460
5,6,4958,AL,L4,5392
7,3,7897,AL,L5,8528
7,5,1422,LM,L23,1570
4,7,2931,RL,L23,3359
