session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,pt_root_id,cc_max,layer,cell_type
6,4,7069,6542,1246.27,966.34,414.17,V1,6,864691136331185898,0.820345,L5,5P-IT
6,4,7070,6543,1040.01,1087.91,416.54,V1,6,864691135738288241,0.90968,L5,5P-IT
6,4,7072,6544,1165.63,570.12,411.05,V1,6,864691134918393098,0.82298,L5,5P-IT
6,4,7073,6545,915.74,1095.09,417.37,V1,6,864691135386378881,0.759272,L5,5P-IT
6,4,7074,6546,1205.17,370.96,408.99,RL,6,864691136090161975,0.811088,L5,5P-ET
6,4,7075,6547,844.5,128.5,408.98,AL,6,864691135614826955,0.225476,L4,4P
6,4,7077,6548,1079.0,960.97,415.14,V1,6,864691135196576298,0.899013,L5,5P-IT
6,4,7078,6549,954.22,367.87,410.5,RL,6,864691135335395049,0.717106,L5,5P-IT
6,4,7079,6550,1086.82,599.83,411.8,V1,6,864691135404879598,0.887036,L5,5P-IT
6,4,7080,6551,924.71,248.25,409.59,AL,6,864691135428780080,0.786695,L4,4P
6,4,7081,6552,1293.45,1095.98,415.07,V1,6,864691135495180432,0.804463,L5,5P-IT
6,4,7082,6553,1330.58,214.33,406.8,RL,6,864691135293882380,0.625929,L5,5P-IT
6,4,7083,6554,1230.14,1088.35,415.38,V1,6,864691135384176619,0.708409,L4,4P
6,4,7084,6555,839.9,733.75,414.53,V1,6,864691136904073906,0.941764,L5,5P-IT
6,4,7085,6556,1000.64,930.9,415.35,V1,6,864691135727840319,0.594364,L5,5P-IT
6,4,7086,6557,885.15,449.91,411.67,V1,6,864691135213758776,0.834887,L5,5P-IT
6,4,7087,6558,953.01,527.28,411.96,V1,6,864691136194995176,0.803078,L5,5P-IT
6,4,7090,6560,1298.08,488.24,409.49,RL,6,864691135696394650,0.59238,L5,5P-ET
6,4,7091,6561,1080.03,492.71,410.87,RL,6,864691135307563334,0.872379,L5,5P-IT
6,4,7093,6563,1114.36,644.73,412.04,V1,6,864691135502746805,0.523753,L5,5P-IT
6,4,7095,6565,1154.58,689.65,412.21,V1,6,864691135772711755,0.662097,L5,5P-IT
6,4,7096,6566,913.15,768.79,414.4,V1,6,864691135336013801,0.656248,L5,5P-IT
6,4,7097,6567,1236.44,926.47,413.87,V1,6,864691135213771136,0.931799,L5,5P-IT
6,4,7098,6568,1119.7,609.87,411.69,V1,6,864691135569726854,0.787143,L5,5P-IT
6,4,7099,6569,834.6,763.62,414.84,V1,6,864691135346111135,0.881856,L5,5P-IT
6,4,7101,6571,878.02,721.38,414.19,V1,6,864691135368307954,0.912992,L5,5P-IT
6,4,7102,6572,1084.67,216.24,408.32,RL,6,864691136990700181,0.801057,L5,5P-IT
6,4,7104,6573,1309.16,363.73,408.29,RL,6,864691136194978006,0.813311,L5,5P-IT
6,4,7105,6574,1108.17,1125.43,416.47,V1,6,864691135291761590,0.772466,L5,5P-IT
6,4,7106,6575,1160.99,846.59,413.6,V1,6,864691135727741503,0.757258,L5,5P-IT
6,4,7108,6577,906.58,965.55,416.24,V1,6,864691135448309394,0.900183,L4,4P
6,4,7110,6579,1149.39,1038.35,415.42,V1,6,864691135919538096,0.844488,L5,5P-IT
6,4,7111,6580,1284.68,582.86,410.44,RL,6,864691135560915681,0.767813,L5,5P-IT
6,4,7112,6581,1278.26,1093.45,415.14,V1,6,864691135754224077,0.942583,L5,5P-IT
6,4,7113,6582,1000.36,968.26,415.69,V1,6,864691136363132898,0.885591,L5,5P-IT
6,4,7114,6583,1001.62,136.34,408.09,AL,6,864691135594467627,0.930403,L5,5P-IT
