session,scan_idx,unit_id,readout_id,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI
4,7,683,550,0.056509677,-0.0081794487,13.7319261842,14.4525319976,-3.1415926536,7.7178861537
4,7,686,553,-0.0466632109,0.1288143015,16.2535143088,13.5683177741,3.1415926536,7.1757395134
4,7,689,556,-0.1631320009,-0.2725331497,8.848256792,10.6744447322,2.4304191722,6.8390051196
4,7,690,557,-0.0533700375,0.1543024328,31.8863053549,15.7180475648,-3.1415926536,7.2629936548
4,7,691,558,0.02706299,0.1519495984,14.6586067923,12.8305010119,3.1415926536,7.5812994559
4,7,693,560,0.0563931179,0.1835920824,15.5332610411,16.8988377738,-3.1415926536,7.5164037425
4,7,699,565,-0.0207520063,-0.1169796382,28.927566051,24.2231869363,-3.1415926536,6.8170034579
4,7,700,566,-0.0353178323,-0.0993477994,21.8470587908,12.7513787435,-0.1290241283,6.6857548371
4,7,701,567,-0.0816803018,-0.1267449342,22.3702960994,18.2912224601,-3.1415926536,6.6182620776
4,7,702,568,-0.1325293266,-0.0464281957,12.3662617827,9.4509534126,0.2320589018,7.1577766534
4,7,703,569,-0.0977923866,-0.0216568918,15.7552957752,22.2137891121,3.1415926536,6.6722548141
4,7,704,570,-0.0997085404,0.1014451774,20.8802947104,16.2286418332,-0.0394273992,7.0463105006
4,7,706,572,0.033331231,0.2313879246,20.2404785013,12.3940880031,3.1415926536,6.8090934946
4,7,707,573,-0.0715601821,0.3616424921,18.3300628578,12.5296692806,3.1415926536,6.6206457795
4,7,708,574,-0.3090921285,0.2861057902,18.5791792225,15.8207265023,-3.1415926536,6.5246118353
4,7,709,575,0.1323607234,0.3533482708,17.8375729002,15.160268858,3.1415926536,6.4851479674
4,7,713,577,-0.0067357199,0.0137636395,18.6814666469,15.0770836952,2.9376973213,7.3006734438
4,7,714,578,-0.0239031327,-0.1848981058,12.774013103,15.81940572,1.8816389526,8.7377915501
4,7,715,579,-0.0804713785,-0.0390430029,17.6333399332,22.149531371,2.673748852,7.1698673447
4,7,716,580,-0.0334813321,0.0108388696,11.7868033995,14.1465516755,3.0574292355,7.8130616895
4,7,717,581,-0.1089586318,0.0333904812,9.4236083752,9.4966086935,-2.2006916328,8.6723387084
4,7,718,582,-0.0759193841,0.0661800232,13.1252343289,17.385386919,3.1415926536,7.1112918918
