session,scan_idx,unit_id,readout_id,pref_tf,pref_sf,pref_ori,pref_dir,OSI,DSI,gOSI,gDSI,STII,curve_corr,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI,resp
6,7,1457,1293,1.5,0.028855503712837953,68.98983797096102,248.98983797096102,0.54060036,0.3878386,0.22435663190433766,0.27967173896034864,0.2625729441642761,0.5558422668040593,-0.29494379667985515,-0.10516154240987219,18.609336875003336,14.3471145057295,3.1415926535897927,8.386207719008048,11.122555
9,6,4422,4113,4.5,0.02734375,7.9535899293028365,187.95358992930284,0.60901195,0.6901762,0.22645848873564572,0.44890467443741017,0.5773314237594604,0.5984372203690367,-0.07210773906535517,-0.05883610838841291,15.740587610219253,15.642500157910199,3.1415926535897927,8.182896384095855,40.34817
4,7,3266,2842,2.0,0.0234375,115.28209597051914,115.28209597051914,0.30113456,0.14020757,0.12257361921460676,0.1197737416790385,0.6256198883056641,-0.1754529420773578,-0.09372323499017765,0.074388431762902,21.894273271825774,14.94049065329341,3.1415926535897927,8.307683247987502,14.76719
6,4,4361,4019,0.5,0.01171875,146.3389197964708,326.3389197964708,0.50413185,0.11520313,0.2546544289306411,0.1270235454235593,0.5341253280639648,0.6894548527995127,-0.22437071078296944,0.03265509930843469,22.312069588622418,19.96780032798973,0.25268194753658746,8.259373756334474,82.467316
5,6,1814,1677,2.0,0.0234375,4.394042078483267,184.39404207848327,0.34842238,0.39341176,0.10712426829606977,0.20832682957326965,0.325206458568573,0.028953793986459163,-0.1669584037213201,-0.12854659309645045,20.200786109207932,13.753867676024162,3.1415926535897927,8.572769383374371,25.142872
9,4,4947,4610,1.5,0.03807588923517589,118.56149388440949,118.56149388440949,0.5284882,0.4997825,0.19165281103775406,0.29288455293644267,0.49022024869918823,-0.07990370189967483,-0.3019463649896825,-0.19107268567000724,19.072898016977796,12.96790897525749,3.1415926535897927,8.191908340521032,16.648636
7,3,1879,1739,2.0,0.03494125792114364,77.10881810485517,257.1088181048552,0.77124655,0.6234017,0.38586574709524835,0.42602239530436486,0.5493040084838867,0.7661296693850592,-0.1509477031587093,-0.04132324859358483,13.928675733950266,21.520856872434514,1.6743796461126315,7.962738697277804,17.009573
9,4,2388,2214,2.0,0.01953125,165.2497601447222,345.2497601447222,0.6454375,0.7655946,0.2174218834829277,0.5244542859465855,0.5133178234100342,0.23644525132772956,-0.26227563882065286,-0.24773688986996834,17.971083798518123,12.257687732997928,-3.1415926535897927,8.341357120750175,22.515676
6,2,2357,2171,0.5,0.015625,164.52965798624217,344.52965798624217,0.5818546,0.09313853,0.2870906689724936,0.10135393784482562,0.5844865441322327,0.866101407002461,-0.1606391231948997,0.007612226037152503,13.93207545822296,20.512670566590035,2.3913445849141515,7.390693647955502,1.3443198
6,7,3795,3449,2.0,0.028556916926381914,130.87786059246736,310.87786059246736,0.6981377,0.35688382,0.3592643939002041,0.1966533324792976,0.5663974285125732,0.7637158989693223,-0.14252529812162207,-0.011232122256075172,22.17458634864305,15.587247857386037,-3.1415926535897927,8.497918204803705,112.24379
4,7,3062,2666,1.5,0.02444466638945959,162.78985273200132,162.78985273200132,0.30287367,0.37832707,0.11641306435940307,0.21886984265611056,0.5748531222343445,-0.002342579414707825,-0.18358310214472817,0.03628249584846288,22.213722969688643,16.925860931580594,3.1415926535897927,8.313431879424268,50.289562
9,4,2555,2374,1.5,0.02734375,176.05989640563337,356.05989640563337,0.7525659,0.35609925,0.3442580669306988,0.26024995256268363,0.18721836805343628,-0.0067012540650791055,-0.08415270329943192,-0.10445620445456472,16.57516186774171,9.885880187319843,3.1415926535897927,8.513716107915998,4.760446
