session,scan_idx,unit_id,readout_id,pref_tf,pref_sf,pref_ori,pref_dir,OSI,DSI,gOSI,gDSI,STII,curve_corr,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI,resp
6,7,1457,1293,1.5,0.028855503712837953,67.78299972568323,247.78299972568323,0.53738606,0.4951341,0.20513097074412096,0.319590531898197,0.2957713007926941,0.4735892591584537,-0.29100302495880914,-0.10498937297685396,18.316605736612313,13.632772791734295,3.1415926535897927,8.77806450272734,11.090436
9,6,4422,4113,1.5,0.02444466638945959,6.733258504758254,186.73325850475825,0.5762013,0.5812675,0.21832664572253013,0.3757109092900871,0.6166924238204956,0.6166430150517865,-0.07503919811550475,-0.05935593304105835,15.184578464670977,15.528928645869565,-3.1415926535897927,8.682043248268787,38.692944
4,7,3266,2842,2.0,0.0234375,40.64715437115424,40.64715437115424,0.2816926,0.22527999,0.09597839134653688,0.20652827224196604,0.5611763000488281,-0.106165711650123,-0.08779494091194562,0.08284116942844966,21.73828069596413,14.888851683195874,3.1415926535897927,8.606524659934587,15.262012
6,4,4361,4019,0.5,0.01171875,152.27412504012304,152.27412504012304,0.508573,0.15440965,0.256583355580449,0.1340998475123477,0.472775936126709,0.6807063136172691,-0.21532014918889253,0.043292793819234454,22.31149513188368,19.445462519285588,3.1415926535897927,8.57333218865476,77.76047
5,6,1814,1677,1.5,0.02444466638945959,16.602776071731626,196.60277607173163,0.49463794,0.6073085,0.1474831171504336,0.36499674018578704,0.36146652698516846,0.18820111144238907,-0.17228919730935954,-0.11534505454512145,19.894504600913454,14.414835562526207,3.1415926535897927,8.913602169761914,27.528599
9,4,4947,4610,1.5,0.03014853296321572,122.87693488792733,122.87693488792733,0.5407256,0.5803082,0.18685075974972257,0.3338099326866779,0.5142759680747986,-0.0796397299656453,-0.308511641444169,-0.19162634529965472,20.624015802344623,12.298454806577245,0.1641040383622552,8.500827001152139,15.335915
7,3,1879,1739,0.5,0.015935381728025885,74.7887775617312,254.7887775617312,0.7331065,0.5027667,0.3625368191613275,0.34289806172825205,0.4748982787132263,0.7595934524227538,-0.14879062025158785,-0.03634136809360777,21.93948337555148,13.205376387004147,-3.0393166153734477,8.34371779572442,16.78222
9,4,2388,2214,1.5,0.01953125,163.63950871926488,343.6395087192649,0.61264586,0.5447969,0.22624951148479303,0.37880752583216687,0.41905081272125244,0.33834071386486714,-0.26457946388063025,-0.24956246030918394,18.386834661081373,12.849407929865167,-3.1415926535897927,8.762120621873317,24.920692
6,2,2357,2171,2.0,0.028211805555555556,169.17627000487886,349.17627000487886,0.7077947,0.2893155,0.33915659066983833,0.2056518668559161,0.5982565879821777,0.7596506608569686,-0.17201481427836707,0.03962837167868383,19.979532889387134,15.910995643309288,0.7807366595714336,8.008651805217028,1.7652987
6,7,3795,3449,1.5,0.028556916926381914,131.76888622792546,311.76888622792546,0.6650961,0.29526064,0.34107351320105644,0.14771788009715422,0.6304789185523987,0.7824174470349061,-0.14873516652581154,-0.013552361018517534,22.52682966475497,15.551392622723109,-0.008910325839985075,8.765540471809098,94.505
4,7,3062,2666,0.5,0.027243671573741694,25.349481520361252,205.34948152036125,0.41258222,0.3883849,0.15903163024410424,0.23445677197199727,0.5336021184921265,-0.07560277378622404,-0.19552203162443327,0.050547739700597116,22.094636299600747,17.42438515891624,3.1415926535897927,8.584485394060723,44.94368
9,4,2555,2374,1.0,0.02734375,179.33928634049374,359.33928634049374,0.7695922,0.63444585,0.3258097743646625,0.46121990113597694,0.2594457268714905,-0.08413622619346296,-0.08749601993663303,-0.10642161166338004,16.787301330778746,10.093359358004657,0.11835726130739553,8.975833134619881,4.9857793
8,5,5486,5208,1.5,0.028556916926381914,127.64667042853164,127.64667042853164,0.67669785,0.5080883,0.31220323532366745,0.30179540986364,0.5615767240524292,0.6946358545853807,-0.2449938917113592,-0.009137690644928975,18.051333459428772,13.459870107031012,-3.036708923578326,8.56565931012667,3.722892
9,6,1732,1601,0.5,0.013888888888888888,87.15982003403616,267.15982003403616,0.7674858,0.11401289,0.4346679666860307,0.15244106273423091,0.3751371502876282,0.8390721906209281,-0.08139089364780017,0.19843457905969464,19.171185720459885,14.429299460809084,-3.1415926535897927,8.183166603804755,12.275391
6,4,8429,7837,0.5,0.01171875,7.598483911845193,187.5984839118452,0.5942546,0.27326524,0.2600731223294256,0.17069147947676963,0.2786819338798523,-0.19348782386239696,-0.17197449642225338,0.07043158915658454,23.016023088617256,16.101501776220033,-3.1415926535897927,7.771404783453115,0.87613165
5,6,7011,6427,0.5,0.028051091375098133,91.06533698051857,271.06533698051857,0.6874018,0.08514074,0.3973618757650003,0.04893230742156577,0.6955153942108154,0.8680946454801433,-0.15851828106210164,-0.061706964621297544,12.408570329696849,23.888734813392354,1.6386658592336334,8.797066706139393,21.47625
8,5,10127,9523,0.5,0.015625,152.7191465155991,152.7191465155991,0.27298856,0.2014187,0.11584671574153636,0.12127547262451714,0.4414513111114502,0.5063947941186828,-0.29649643008959925,-0.1662811899755453,20.332753508741455,13.973021564208016,-3.1415926535897927,8.58410115394256,7.5711827
6,6,7139,6612,0.5,0.015625,17.908552357026736,197.90855235702674,0.3099451,0.36083615,0.09833364040391818,0.23435437643410356,0.2298068404197693,0.7970765197632392,-0.2476515744967991,0.04843255153551396,18.23113109005763,16.761209662104132,-3.1415926535897927,8.731248767173442,67.29253
5,6,7110,6520,1.5,0.028051091375098133,76.04301031233774,256.04301031233774,0.30189896,0.14452414,0.12232346554659627,0.015654485632701835,0.44017648696899414,0.6086216005218815,-0.1872619080485507,0.07654379235138453,19.682828468620528,16.94342738944527,2.851892089398425,8.796112021293476,19.146029
7,3,8791,8152,0.5,0.015625,164.1323420752543,164.1323420752543,0.24566233,0.60643566,0.13398128960799977,0.2811594956764088,0.49459296464920044,0.04007969873026319,-0.21786567282139824,-0.04081853319581574,18.540337874754893,12.337488849295745,-3.1415926535897927,7.971192009673682,3.606841
6,7,8345,7637,1.5,0.03494125792114364,92.18208428733988,272.1820842873399,0.39578375,0.32544857,0.13747721589607503,0.22347181773384583,0.6144793033599854,0.12690546046640275,-0.2734939416637545,-0.0756102272699043,15.833627556275783,22.833860289485866,2.3879849865554266,8.524107299831567,6.2649584
4,7,5490,4878,0.5,0.010452773071868312,7.536335402648632,187.53633540264863,0.2169615,0.3902857,0.09696951309125908,0.22447954208866114,0.2567507028579712,-0.5543938430210639,-0.1832545827155131,-0.055511944841836414,22.25290197793082,15.792558300551818,3.1415926535897927,8.361831017550855,8.827468
5,6,5068,4655,2.0,0.026041666666666668,123.87825726631104,123.87825726631104,0.5166859,0.4691331,0.19737658618335957,0.24921476902608772,0.5716312527656555,0.6164107535993183,-0.15648704409769587,-0.44410546829385145,16.71666085617269,15.870031705577109,3.1415926535897927,8.389733216147096,8.65372
6,4,6463,5969,2.0,0.02072908669489506,165.08077078581218,165.08077078581218,0.8546865,0.65514445,0.4464915295974894,0.48712635612298455,0.4157038927078247,-0.20554431989044056,-0.4040124357322279,-0.24690610650861333,17.24952466809,17.38306144105162,3.1415926535897927,8.005001810616214,5.591743
7,5,4946,4490,2.0,0.02444466638945959,157.31207199887092,337.3120719988709,0.47978386,0.12943763,0.22146840455138686,0.10023384128265762,0.5339540839195251,0.2500660288313528,-0.1961298430199333,-0.19238735984323152,17.474498879080524,11.027861392570227,3.1415926535897927,8.246288545680427,10.075064
6,4,1200,1100,0.5,0.010452773071868312,71.24205823269716,251.24205823269716,0.22740579,0.30100694,0.057614409324063004,0.16375038081165288,0.5274877548217773,-0.31995586204708953,-0.09429074670316129,-0.21922596540426043,14.24689350720657,14.654438437615163,3.1415926535897927,8.186917998419068,3.1723356
