session,scan_idx,unit_id,readout_id,brain_area,layer,MEDI,Gabor,MESI,Grating,Natural
4,7,832,679,V1,L23,3.2591596,1.251861333847046,0.9995610117912292,1.6992857456,3.91198205947876
4,7,833,680,V1,L23,3.5348814,0.64739590883255,0.8839449882507324,2.1410987377,4.296304225921631
4,7,836,681,V1,L23,9.238011,2.3019888401031494,3.785432100296021,2.0268609524,8.762094497680664
4,7,837,682,V1,L23,5.9385834,1.8199423551559448,2.723008155822754,1.3553955555,4.569614410400391
4,7,839,683,V1,L23,5.0602736,2.245605230331421,1.4585758447647097,1.5182009935,5.571374416351318
4,7,840,684,V1,L23,3.544104,1.3305209875106812,1.1722208261489868,0.9615048766,3.9064571857452393
4,7,841,685,V1,L23,4.572928,1.489308476448059,1.6768018007278442,1.4344220161,3.815767765045166
4,7,845,687,V1,L23,17.176098,1.664361834526062,2.8501882553100586,2.1816413403,8.826478004455566
4,7,846,688,V1,L23,7.048468589782715,2.641153335571289,3.417222261428833,2.538700819,6.284521102905273
4,7,847,689,V1,L23,8.662576,1.534817814826965,3.0446536540985107,1.1238857508,6.238504409790039
4,7,848,690,V1,L23,6.6402607,1.756139636039734,3.1552016735076904,3.9156987667,16.143156051635742
4,7,849,691,V1,L23,2.1941125,0.7902635335922241,0.6908350586891174,0.861761868,4.93748664855957
4,7,852,693,V1,L23,4.349904,1.2568590641021729,2.198023796081543,2.671227932,3.9648842811584473
4,7,854,695,V1,L23,12.0650625,3.3370134830474854,4.577052116394043,2.8426451683,7.939268112182617
4,7,855,696,V1,L23,15.461509,4.017055988311768,5.887839317321777,4.3749799728,9.665277481079102
4,7,856,697,V1,L23,7.691253,0.9612486958503724,2.665656328201294,4.0868973732,5.286348819732666
4,7,857,698,V1,L23,8.018649,2.709650039672852,3.223234176635742,0.9047641754,5.28093147277832
4,7,858,699,V1,L23,4.613839626312256,1.3998210430145264,1.3942407369613647,2.3675737381,5.037839889526367
4,7,861,701,V1,L23,3.7362616,0.9460370540618896,1.2355637550354004,1.7712417841,6.3264994621276855
4,7,862,702,V1,L23,1.547906,1.463377833366394,1.6647228002548218,1.305316329,5.30192756652832
4,7,863,703,V1,L23,8.314831,1.4038183689117432,1.9488437175750728,1.5130404234,7.825902938842773
4,7,865,704,V1,L23,6.1215363,1.098750352859497,2.505704164505005,1.3242474794,6.174053192138672
4,7,867,705,V1,L23,10.470237,4.821783065795898,5.383417129516602,2.1132805347,11.05955410003662
4,7,873,707,V1,L23,2.117851,1.70401930809021,3.493793249130249,2.959656477,10.692997932434082
4,7,875,709,V1,L23,37.397766,1.7275526523590088,1.269521713256836,6.1211452484,7.511196136474609
4,7,878,710,V1,L23,5.6072493,1.8182677030563357,2.174824476242065,2.4508757591,8.34162712097168
