session,scan_idx,unit_id,readout_id,start_frame,end_frame
4,7,2585,2239,16278,16337
4,7,2587,2240,34937,34996
4,7,2588,2241,3961,4020
4,7,2589,2242,73710,73769
4,7,2590,2243,12746,12805
4,7,2591,2244,42615,42674
4,7,2592,2245,65702,65761
4,7,2593,2246,39240,39299
4,7,2594,2247,12130,12189
4,7,2597,2249,30753,30812
4,7,2599,2251,12712,12771
4,7,2602,2253,35872,35931
4,7,2604,2254,12746,12805
4,7,2605,2255,33624,33683
4,7,2606,2256,703,762
4,7,2607,2257,41701,41760
4,7,2608,2258,21748,21807
4,7,2610,2259,52200,52259
4,7,2612,2261,61434,61493
4,7,2613,2262,52578,52637
4,7,2615,2263,46531,46590
4,7,2618,2266,42612,42671
4,7,2619,2267,5340,5399
4,7,2620,2268,619,678
4,7,2621,2269,31661,31720
4,7,2622,2270,33748,33807
4,7,2623,2271,40063,40122
4,7,2624,2272,12904,12963
4,7,2626,2274,34950,35009
4,7,2633,2280,19859,19918
4,7,2640,2287,12803,12862
4,7,2642,2289,32497,32556
4,7,2643,2290,12732,12791
4,7,2645,2292,23403,23462
4,7,2646,2293,42611,42670
4,7,2647,2294,16740,16799
4,7,2648,2295,14018,14077
4,7,2650,2297,21727,21786
4,7,2651,2298,22035,22094
4,7,2652,2299,31585,31644
4,7,2654,2301,4858,4917
4,7,2657,2303,12904,12963
4,7,2659,2304,32640,32699
4,7,2663,2306,50808,50867
4,7,2664,2307,47117,47176
4,7,2666,2309,63004,63063
4,7,2668,2311,39986,40045
4,7,2669,2312,33654,33713
4,7,2672,2315,50221,50280
4,7,2674,2317,39977,40036
4,7,2676,2319,30142,30201
4,7,2677,2320,62305,62364
4,7,2678,2321,52740,52799
4,7,2681,2322,26207,26266
4,7,2687,2327,47136,47195
4,7,2689,2329,62340,62399
4,7,2690,2330,53262,53321
4,7,2692,2332,40811,40870
4,7,2694,2334,21362,21421
4,7,2696,2336,29112,29171
4,7,2697,2337,44862,44921
4,7,2698,2338,32601,32660
4,7,2701,2341,28431,28490
4,7,2703,2343,23340,23399
4,7,2711,2348,9710,9769
4,7,2712,2349,17413,17472
4,7,2714,2351,34917,34976
4,7,2715,2352,4800,4859
4,7,2717,2354,31000,31059
4,7,2721,2358,26218,26277
4,7,2722,2359,22440,22499
4,7,2724,2361,22367,22426
4,7,2725,2362,64434,64493
4,7,2727,2364,25362,25421
4,7,2731,2368,43876,43935
4,7,2734,2370,54240,54299
4,7,2738,2374,58140,58199
4,7,2739,2375,11330,11389
4,7,2740,2376,37322,37381
4,7,2741,2377,42540,42599
4,7,2742,2378,59340,59399
4,7,2745,2381,15054,15113
4,7,2746,2382,3004,3063
4,7,2747,2383,22619,22678
4,7,2749,2384,26283,26342
4,7,2750,2385,26282,26341
4,7,2753,2388,34649,34708
4,7,2756,2391,36736,36795
4,7,2758,2393,2558,2617
4,7,2759,2394,64838,64897
4,7,2766,2400,62640,62699
4,7,2767,2401,59545,59604
4,7,2769,2402,43339,43398
4,7,2770,2403,59340,59399
4,7,2772,2404,31640,31699
4,7,2774,2406,40654,40713
4,7,2777,2408,33540,33599
4,7,2778,2409,53755,53814
4,7,2780,2411,64858,64917
4,7,2782,2413,66112,66171
4,7,2786,2417,27350,27409
4,7,2790,2420,71640,71699
4,7,2791,2421,39636,39695
4,7,2792,2422,11181,11240
4,7,2793,2423,74574,74633
4,7,2794,2424,55502,55561
4,7,2795,2425,23253,23312
4,7,2796,2426,71278,71337
4,7,2797,2427,73646,73705
4,7,2798,2428,40801,40860
4,7,2799,2429,53244,53303
4,7,2801,2431,18501,18560
4,7,2803,2433,65570,65629
4,7,2805,2435,45794,45853
4,7,2806,2436,65813,65872
4,7,2807,2437,26745,26804
4,7,2808,2438,34915,34974
4,7,2810,2440,62340,62399
4,7,2814,2444,53711,53770
4,7,2816,2445,7710,7769
4,7,2818,2447,58570,58629
4,7,2819,2448,70440,70499
4,7,2820,2449,11474,11533
4,7,2821,2450,44112,44171
4,7,2823,2452,60904,60963
4,7,2825,2454,24602,24661
4,7,2826,2455,37684,37743
4,7,2827,2456,11587,11646
4,7,2830,2459,13992,14051
4,7,2833,2461,44452,44511
4,7,2834,2462,11340,11399
4,7,2836,2464,19818,19877
4,7,2837,2465,11260,11319
4,7,2838,2466,19535,19594
4,7,2840,2468,56104,56163
4,7,2843,2471,56475,56534
4,7,2844,2472,42638,42697
4,7,2852,2479,45344,45403
4,7,2856,2483,23477,23536
4,7,2857,2484,38271,38330
4,7,2858,2485,35316,35375
4,7,2859,2486,66608,66667
4,7,2860,2487,74526,74585
4,7,2863,2490,58800,58859
4,7,2864,2491,60840,60899
4,7,2866,2493,65574,65633
4,7,2867,2494,51107,51166
4,7,2868,2495,51025,51084
4,7,2872,2499,32638,32697
4,7,2873,2500,70002,70061
4,7,2875,2502,8747,8806
4,7,2876,2503,72935,72994
4,7,2883,2508,42902,42961
4,7,2884,2509,63706,63765
4,7,2885,2510,1701,1760
4,7,2887,2512,34707,34766
4,7,2892,2517,58140,58199
4,7,2893,2518,28215,28274
4,7,2895,2520,52440,52499
4,7,2896,2521,21951,22010
4,7,2897,2522,60435,60494
4,7,2898,2523,37334,37393
4,7,2900,2525,71528,71587
4,7,2905,2528,67862,67921
4,7,2909,2532,39031,39090
4,7,2911,2534,10807,10866
4,7,2912,2535,64698,64757
4,7,2913,2536,5924,5983
4,7,2914,2537,1418,1477
4,7,2917,2539,69674,69733
4,7,2918,2540,36054,36113
4,7,2920,2542,23498,23557
4,7,2921,2543,12667,12726
4,7,2922,2544,53861,53920
4,7,2923,2545,32160,32219
4,7,2925,2547,13805,13864
4,7,2927,2549,62101,62160
4,7,2931,2551,65001,65060
4,7,2944,2561,69675,69734
4,7,2947,2564,42412,42471
4,7,2948,2565,37440,37499
4,7,2949,2566,39170,39229
4,7,2951,2568,50221,50280
4,7,2952,2569,74597,74656
