session,scan_idx,readout_id,r2
4,7,2603,0.6407961864868009
4,7,2605,0.8432736825487368
4,7,2611,0.6770155537865601
4,7,2612,0.7412009228141478
4,7,2615,0.6518971386775633
4,7,2617,0.6528293495601443
4,7,2619,0.5012661914548631
4,7,2623,0.7489441178237505
4,7,2624,0.6637102526856171
4,7,2625,0.7384177956685944
4,7,2626,0.7235327823097859
4,7,2627,0.6527205729993668
4,7,2628,0.730717244150723
4,7,2629,0.742642926296058
4,7,2630,0.7875108462983755
4,7,2634,0.6013251817146653
4,7,2637,0.6393374920899765
4,7,2638,0.4284378566102036
4,7,2639,0.6755085649912511
4,7,2640,0.497220613285907
4,7,2641,0.7123646029518853
4,7,2642,0.6335236061179066
4,7,2643,0.8800272642155914
4,7,2644,0.4210197147753487
4,7,2645,0.2462662414836118
4,7,2646,0.438454246147091
4,7,2647,0.4003163014071529
4,7,2648,0.7570959351256088
4,7,2649,0.6395985038316725
4,7,2650,0.774407782258858
4,7,2651,0.6884026332252933
4,7,2652,0.8054755540001248
4,7,2653,0.6826602207143334
4,7,2655,0.57644117758892
4,7,2656,0.9142713705703056
4,7,2657,0.2533313658081269
4,7,2658,0.5432680513489251
4,7,2659,0.7304173195088054
4,7,2660,0.3952901748364
4,7,2661,0.716765283109351
4,7,2662,0.6441327227410651
4,7,2664,0.2436237733323236
4,7,2666,0.5280161892156421
4,7,2671,0.3823459544982237
4,7,2673,0.6789407640822058
4,7,2674,0.6397267922211887
4,7,2676,0.5884630447503791
4,7,2677,0.6462547222054817
4,7,2680,0.591773217724479
4,7,2681,0.6826189038899549
4,7,2682,0.6245525510240713
4,7,2684,0.7219111787345363
4,7,2685,0.6974980421460636
4,7,2686,0.3915451348907992
4,7,2687,0.2874868489718604
4,7,2690,0.7969188959840924
4,7,2691,0.7047079650536086
4,7,2692,0.6420313516607686
4,7,2693,0.6681313452408977
4,7,2694,0.5978278325912851
4,7,2695,0.6980692017647954
4,7,2696,0.7115635906514604
4,7,2698,0.737588292661316
4,7,2703,0.6683967917367706
4,7,2704,0.6780862630111664
4,7,2705,0.6586298681413714
4,7,2710,0.8003500956078583
4,7,2711,0.5332825559544441
4,7,2713,0.6964476652397467
4,7,2715,0.6927665939596883
4,7,2716,0.7987259791815368
4,7,2717,0.465671503149608
4,7,2718,0.5912500526854028
4,7,2719,0.3228409509324449
4,7,2720,0.6734568032836575
4,7,2721,0.7605726696705368
4,7,2722,0.6711869487052549
4,7,2723,0.2901922847591617
4,7,2724,0.3754585316761802
4,7,2725,0.8714276486648335
4,7,2726,0.8640824716475469
4,7,2727,0.786797632613732
4,7,2728,0.7886300866396658
4,7,2729,0.7818052536851937
4,7,2730,0.7989196232369125
4,7,2732,0.4758665985946148
4,7,2735,0.7767710502374321
4,7,2736,0.5740249825474275
4,7,2737,0.8133923457080665
4,7,2738,0.7927755077698159
4,7,2740,0.6685943629307759
4,7,2742,0.556211029590961
4,7,2744,0.7245038804316671
4,7,2746,0.8466521765763991
4,7,2748,0.6917679241326232
4,7,2750,0.5480031090582771
4,7,2751,0.7940120621977045
4,7,2752,0.0226220594304003
4,7,2753,0.5873336762384591
4,7,2754,0.5697783550886744
4,7,2760,0.6680746133850753
4,7,2761,0.8266434902780363
4,7,2763,0.42377533789023
4,7,2764,0.3576950092751734
4,7,2765,0.7436334720052894
4,7,2766,0.7595638666012963
4,7,2769,0.850938331397646
4,7,2770,0.5390323273728189
4,7,2771,0.7623482573236047
4,7,2772,0.7515488563276277
4,7,2773,0.5371971912604336
4,7,2775,0.7930327329238811
4,7,2776,0.5590592758515881
4,7,2777,0.4016676980540169
4,7,2779,0.6813985834083072
4,7,2780,0.7700856215459476
4,7,2781,0.8305455546088492
4,7,2783,0.8084898242130776
4,7,2785,0.8573745930559565
4,7,2787,0.7230867793557658
4,7,2788,0.7734232133548284
4,7,2789,0.5043459654182374
4,7,2791,0.7179526808007416
4,7,2792,0.8616410303133476
